@relation letter-recognition-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute lettr {T,I,D,N,G,S,B,A,J,M,X,O,R,F,C,H,W,L,P,E,V,Y,Q,U,K,Z}
@attribute ' x_box' numeric
@attribute ' y_box' numeric
@attribute ' width' numeric
@attribute ' high' numeric
@attribute ' onpix' numeric
@attribute ' x_bar' numeric
@attribute ' y_bar' numeric
@attribute ' x2bar' numeric
@attribute ' y2bar' numeric
@attribute ' xybar' numeric
@attribute ' x2ybr' numeric
@attribute ' xy2br' numeric
@attribute ' x_ege' numeric
@attribute ' xegvy' numeric
@attribute ' y_ege' numeric
@attribute ' yegvx' numeric

@data
G,0.266667,0.6,0.4,0.466667,0.4,0.466667,0.533333,0.4,0.133333,0.4,0.333333,0.733333,0.266667,0.533333,0.466667,8
M,0.4,0.6,0.533333,0.4,0.6,0.466667,0.533333,0.4,0.333333,0.466667,0.333333,0.533333,0.533333,0.6,0.533333,6
R,0.333333,0.6,0.333333,0.466667,0.4,0.4,0.733333,0.466667,0.2,0.466667,0.2,0.6,0.133333,0.466667,0.333333,11
F,0.4,0.6,0.333333,0.266667,0.2,0.666667,0.4,0.2,0.333333,0.666667,0.333333,0.466667,0.2,0.6,0.4,9
O,0.2,0.266667,0.266667,0.2,0.133333,0.533333,0.466667,0.466667,0.333333,0.466667,0.4,0.533333,0.133333,0.533333,0.2,8
C,0.466667,0.666667,0.333333,0.333333,0.133333,0.4,0.533333,0.4,0.533333,0.733333,0.466667,0.733333,0.133333,0.533333,0.333333,9
T,0.4,0.733333,0.4,0.533333,0.333333,0.4,0.733333,0.333333,0.4,0.733333,0.6,0.266667,0.2,0.8,0.133333,4
J,0.133333,0.133333,0.2,0.2,0.066667,0.666667,0.4,0.2,0.4,0.8,0.266667,0.6,0,0.466667,0.066667,7
J,0.066667,0.2,0.133333,0.133333,0.066667,0.533333,0.533333,0.133333,0.333333,0.933333,0.333333,0.533333,0,0.466667,0,7
H,0.266667,0.333333,0.333333,0.266667,0.266667,0.466667,0.466667,0.4,0.4,0.466667,0.4,0.533333,0.2,0.533333,0.2,8
S,0.2,0.133333,0.2,0.2,0.133333,0.533333,0.533333,0.466667,0.333333,0.466667,0.333333,0.466667,0.133333,0.533333,0.6,8
O,0.4,0.733333,0.466667,0.533333,0.333333,0.466667,0.4,0.6,0.4,0.466667,0.333333,0.6,0.266667,0.533333,0.333333,5
J,0.2,0.4,0.266667,0.266667,0.133333,0.4,0.4,0.266667,0.266667,0.933333,0.533333,0.8,0.066667,0.4,0.066667,6
C,0.4,0.733333,0.466667,0.533333,0.2,0.466667,0.533333,0.466667,0.733333,0.266667,0.466667,0.933333,0.066667,0.466667,0.266667,8
M,0.466667,0.733333,0.733333,0.533333,0.6,0.2,0.533333,0.266667,0.333333,0.666667,0.733333,0.666667,0.666667,0.6,0.333333,7
W,0.8,0.933333,0.8,0.533333,0.333333,0.6,0.666667,0.266667,0.2,0.333333,0.666667,0.466667,0.666667,0.8,0.133333,6
H,0.4,0.6,0.533333,0.466667,0.4,0.533333,0.4,0.4,0.466667,0.466667,0.466667,0.6,0.4,0.533333,0.266667,8
G,0.2,0.4,0.266667,0.266667,0.133333,0.4,0.4,0.333333,0.333333,0.4,0.4,0.6,0.133333,0.533333,0.266667,8
L,0.133333,0.2,0.2,0.266667,0.066667,0,0.066667,0.333333,0.4,0,0,0.4,0,0.533333,0,8
L,0.066667,0.2,0.2,0.066667,0.066667,0.4,0.266667,0.066667,0.466667,0.533333,0.2,0.666667,0,0.466667,0.133333,9
X,0.533333,0.8,0.533333,0.4,0.266667,0.2,0.666667,0.266667,0.466667,0.8,0.733333,0.6,0.2,0.466667,0.2,4
B,0.333333,0.6,0.466667,0.466667,0.666667,0.6,0.533333,0.266667,0.266667,0.4,0.533333,0.4,0.4,0.733333,0.533333,7
M,0.4,0.6,0.6,0.466667,0.4,0.333333,0.4,0.2,0.333333,0.666667,0.6,0.6,0.533333,0.333333,0.133333,7
G,0.266667,0.466667,0.4,0.333333,0.2,0.4,0.4,0.4,0.533333,0.4,0.333333,0.6,0.2,0.666667,0.266667,8
O,0.266667,0.466667,0.333333,0.333333,0.2,0.466667,0.466667,0.533333,0.4,0.466667,0.4,0.533333,0.2,0.533333,0.2,8
P,0.2,0.4,0.266667,0.266667,0.133333,0.266667,0.933333,0.533333,0.066667,0.733333,0.4,0.2,0,0.666667,0.266667,8
G,0.266667,0.6,0.333333,0.4,0.4,0.533333,0.333333,0.266667,0.2,0.466667,0.333333,0.733333,0.4,0.533333,0.333333,11
E,0.2,0.266667,0.2,0.4,0.133333,0.2,0.533333,0.4,0.666667,0.466667,0.4,1,0,0.533333,0.466667,8
X,0.333333,0.733333,0.533333,0.533333,0.266667,0.533333,0.533333,0.066667,0.533333,0.666667,0.333333,0.466667,0.2,0.533333,0.266667,8
E,0.2,0.466667,0.266667,0.333333,0.266667,0.466667,0.466667,0.333333,0.533333,0.533333,0.533333,0.6,0.2,0.6,0.4,9
X,0.266667,0.4,0.466667,0.266667,0.2,0.6,0.466667,0.133333,0.533333,0.733333,0.2,0.466667,0.2,0.533333,0.266667,9
G,0.266667,0.333333,0.333333,0.533333,0.2,0.466667,0.4,0.533333,0.533333,0.4,0.4,0.666667,0.066667,0.533333,0.4,11
V,0.466667,0.6,0.4,0.333333,0.133333,0.533333,0.666667,0.266667,0.333333,0.533333,0.666667,0.333333,0.266667,0.8,0.2,8
X,0.266667,0.666667,0.333333,0.466667,0.333333,0.533333,0.466667,0.2,0.533333,0.333333,0.4,0.4,0.2,0.533333,0.4,8
W,0.333333,0.6,0.4,0.466667,0.533333,0.466667,0.6,0.333333,0.2,0.466667,0.6,0.533333,0.4,0.533333,0.2,8
G,0.066667,0.2,0.133333,0.066667,0.066667,0.466667,0.466667,0.333333,0.4,0.466667,0.333333,0.666667,0.066667,0.6,0.2,9
R,0.533333,0.666667,0.533333,0.4,0.4,0.466667,0.466667,0.2,0.333333,0.533333,0.266667,0.533333,0.4,0.4,0.466667,7
S,0.2,0.6,0.266667,0.466667,0.133333,0.466667,0.333333,0.4,0.666667,0.333333,0.4,0.666667,0,0.6,0.6,8
Y,0.466667,0.733333,0.6,0.533333,0.533333,0.6,0.333333,0.4,0.266667,0.466667,0.533333,0.533333,0.2,0.6,0.533333,3
L,0.2,0.4,0.2,0.266667,0.066667,0.066667,0,0.4,0.4,0,0.066667,0.333333,0,0.533333,0,8
Y,0.133333,0.266667,0.266667,0.2,0.133333,0.4,0.666667,0.066667,0.466667,0.533333,0.733333,0.533333,0.066667,0.733333,0.133333,7
J,0.266667,0.333333,0.4,0.4,0.333333,0.533333,0.666667,0.266667,0.266667,0.466667,0.466667,0.6,0.2,0.466667,0.466667,5
S,0.266667,0.6,0.333333,0.4,0.266667,0.466667,0.533333,0.466667,0.466667,0.533333,0.266667,0.466667,0.133333,0.466667,0.6,8
Q,0.4,0.6,0.466667,0.733333,0.466667,0.533333,0.333333,0.466667,0.333333,0.6,0.4,0.6,0.2,0.533333,0.4,8
Q,0.2,0.333333,0.333333,0.266667,0.266667,0.6,0.2,0.266667,0.2,0.533333,0.266667,0.6,0.2,0.4,0.266667,8
D,0.133333,0.4,0.2,0.266667,0.133333,0.4,0.466667,0.666667,0.533333,0.4,0.4,0.4,0.2,0.533333,0.2,8
C,0.4,0.666667,0.266667,0.333333,0.133333,0.4,0.6,0.4,0.4,0.733333,0.466667,0.466667,0.133333,0.6,0.333333,9
L,0.333333,0.666667,0.4,0.533333,0.333333,0.6,0.2,0.133333,0.4,0.6,0.133333,0.6,0.133333,0.333333,0.2,9
N,0.2,0.2,0.2,0.333333,0.133333,0.466667,0.466667,0.866667,0.133333,0.333333,0.4,0.533333,0.333333,0.533333,0,8
C,0.133333,0.2,0.2,0.066667,0.066667,0.333333,0.6,0.266667,0.4,0.733333,0.6,0.733333,0.066667,0.6,0.133333,8
E,0.4,0.6,0.266667,0.266667,0.133333,0.466667,0.466667,0.266667,0.466667,0.666667,0.4,0.666667,0.066667,0.6,0.466667,9
X,0.266667,0.6,0.333333,0.4,0.333333,0.466667,0.4,0.2,0.333333,0.4,0.4,0.6,0.133333,0.533333,0.533333,8
H,0.2,0.2,0.266667,0.066667,0.133333,0.533333,0.466667,0.333333,0.4,0.466667,0.4,0.533333,0.333333,0.533333,0.2,7
L,0.133333,0.2,0.133333,0.266667,0.066667,0,0.066667,0.333333,0.4,0,0,0.4,0,0.533333,0,8
H,0.2,0.333333,0.333333,0.266667,0.2,0.466667,0.533333,0.2,0.4,0.666667,0.4,0.533333,0.2,0.533333,0.2,8
E,0.133333,0.2,0.2,0.133333,0.133333,0.466667,0.466667,0.333333,0.466667,0.466667,0.4,0.533333,0.133333,0.533333,0.333333,10
Y,0.333333,0.666667,0.4,0.466667,0.4,0.6,0.4,0.4,0.266667,0.466667,0.533333,0.466667,0.4,0.6,0.533333,3
H,0.533333,0.8,0.533333,0.4,0.266667,0.6,0.533333,0.266667,0.333333,0.533333,0.266667,0.333333,0.4,0.6,0.333333,9
Q,0.333333,0.666667,0.333333,0.333333,0.266667,0.6,0.4,0.333333,0.4,0.666667,0.4,0.466667,0.266667,0.533333,0.6,9
Q,0.2,0.533333,0.333333,0.466667,0.2,0.533333,0.466667,0.6,0.4,0.4,0.4,0.6,0.2,0.533333,0.333333,9
Q,0.266667,0.4,0.4,0.266667,0.333333,0.533333,0.333333,0.4,0.266667,0.4,0.466667,0.666667,0.266667,0.466667,0.333333,9
J,0.133333,0.533333,0.2,0.4,0.066667,0.866667,0.2,0.533333,0.266667,0.866667,0.2,0.733333,0.066667,0.4,0,8
J,0.266667,0.466667,0.333333,0.333333,0.133333,0.533333,0.6,0.066667,0.466667,0.933333,0.333333,0.4,0,0.533333,0.066667,8
D,0.266667,0.333333,0.333333,0.266667,0.2,0.466667,0.466667,0.466667,0.466667,0.466667,0.4,0.333333,0.133333,0.533333,0.2,7
R,0.133333,0.4,0.266667,0.266667,0.2,0.4,0.466667,0.333333,0.333333,0.4,0.333333,0.466667,0.2,0.466667,0.333333,8
M,0.266667,0.333333,0.466667,0.266667,0.266667,0.4,0.4,0.2,0.266667,0.6,0.6,0.666667,0.466667,0.333333,0.133333,8
A,0.2,0.466667,0.333333,0.333333,0.2,0.8,0.133333,0.2,0.133333,0.666667,0.133333,0.6,0.133333,0.4,0.2,8
N,0.2,0.333333,0.266667,0.266667,0.133333,0.466667,0.533333,0.333333,0.266667,0.466667,0.466667,0.466667,0.4,0.6,0.133333,5
M,0.4,0.666667,0.6,0.466667,0.533333,0.2,0.466667,0.266667,0.333333,0.666667,0.733333,0.666667,0.466667,0.6,0.2,7
P,0.533333,0.933333,0.466667,0.533333,0.266667,0.333333,0.666667,0.4,0.2,0.8,0.333333,0.266667,0.266667,0.666667,0.266667,8
C,0.4,0.8,0.333333,0.466667,0.266667,0.533333,0.333333,0.266667,0.2,0.6,0.6,0.733333,0.266667,0.6,0.533333,10
P,0.4,0.666667,0.533333,0.533333,0.466667,0.533333,0.333333,0.466667,0.333333,0.466667,0.4,0.4,0.2,0.6,0.533333,9
N,0.133333,0.2,0.2,0.066667,0.066667,0.333333,0.6,0.2,0.2,0.666667,0.533333,0.533333,0.266667,0.533333,0,8
W,0.2,0.266667,0.266667,0.2,0.133333,0.6,0.666667,0.2,0.133333,0.333333,0.6,0.466667,0.4,0.733333,0,8
V,0.2,0.533333,0.333333,0.4,0.4,0.533333,0.466667,0.266667,0.066667,0.533333,0.466667,0.533333,0.333333,0.666667,0.266667,7
V,0.4,0.6,0.6,0.533333,0.666667,0.533333,0.466667,0.333333,0.333333,0.466667,0.4,0.533333,0.533333,0.6,0.6,3
M,0.4,0.466667,0.6,0.333333,0.466667,0.266667,0.466667,0.2,0.333333,0.666667,0.666667,0.733333,0.533333,0.4,0.2,7
E,0.266667,0.533333,0.333333,0.4,0.266667,0.466667,0.466667,0.266667,0.533333,0.733333,0.533333,0.6,0.133333,0.6,0.333333,7
N,0.4,0.733333,0.533333,0.533333,0.6,0.333333,0.533333,0.2,0.266667,0.533333,0.533333,0.6,0.466667,0.6,0.333333,4
Y,0.533333,0.666667,0.533333,0.466667,0.266667,0.2,0.666667,0.2,0.466667,0.733333,0.8,0.4,0.066667,0.733333,0.2,5
W,0.266667,0.533333,0.333333,0.4,0.2,0.4,0.533333,0.266667,0.066667,0.466667,0.533333,0.533333,0.533333,0.6,0,8
O,0.4,0.466667,0.533333,0.4,0.4,0.4,0.4,0.333333,0.4,0.533333,0.333333,0.533333,0.2,0.4,0.333333,6
N,0.266667,0.266667,0.266667,0.4,0.133333,0.466667,0.466667,0.933333,0.133333,0.333333,0.4,0.533333,0.4,0.533333,0,8
H,0.266667,0.533333,0.333333,0.4,0.333333,0.466667,0.666667,0.533333,0.333333,0.533333,0.333333,0.4,0.2,0.4,0.466667,11
O,0.266667,0.466667,0.333333,0.333333,0.2,0.533333,0.466667,0.533333,0.333333,0.666667,0.4,0.533333,0.2,0.533333,0.2,8
N,0.266667,0.533333,0.333333,0.4,0.266667,0.466667,0.466667,0.6,0.266667,0.4,0.266667,0.4,0.2,0.466667,0.2,8
H,0.266667,0.6,0.333333,0.4,0.133333,0.466667,0.4,1,0.066667,0.466667,0.466667,0.533333,0.2,0.533333,0,8
U,0.466667,0.733333,0.533333,0.6,0.266667,0.2,0.6,0.4,0.466667,0.733333,0.733333,0.666667,0.2,0.6,0.133333,6
Y,0.133333,0.466667,0.2,0.333333,0.066667,0.4,0.666667,0,0.2,0.466667,0.733333,0.533333,0.066667,0.733333,0,8
S,0.4,0.533333,0.466667,0.4,0.266667,0.4,0.6,0.266667,0.533333,0.733333,0.466667,0.4,0.133333,0.533333,0.333333,5
S,0.333333,0.6,0.4,0.466667,0.333333,0.466667,0.466667,0.466667,0.333333,0.466667,0.4,0.466667,0.133333,0.533333,0.6,8
T,0.133333,0.2,0.133333,0.133333,0.066667,0.466667,0.733333,0.133333,0.4,0.466667,0.666667,0.533333,0.066667,0.733333,0.066667,7
C,0.133333,0.2,0.2,0.133333,0.066667,0.266667,0.466667,0.266667,0.4,0.666667,0.6,0.866667,0.066667,0.6,0.133333,7
V,0.266667,0.666667,0.466667,0.466667,0.133333,0.6,0.533333,0.333333,0.2,0.333333,0.933333,0.533333,0.2,0.6,0,8
T,0.333333,0.533333,0.333333,0.4,0.2,0.4,0.8,0.266667,0.466667,0.8,0.6,0.266667,0.133333,0.8,0.133333,4
K,0.466667,0.8,0.4,0.4,0.2,0.466667,0.533333,0.133333,0.466667,0.6,0.466667,0.533333,0.333333,0.533333,0.2,7
D,0.2,0.533333,0.266667,0.4,0.266667,0.466667,0.533333,0.466667,0.4,0.466667,0.466667,0.333333,0.2,0.533333,0.2,7
W,0.133333,0.066667,0.2,0.066667,0.066667,0.466667,0.533333,0.266667,0,0.466667,0.533333,0.533333,0.4,0.666667,0,8
I,0.133333,0.6,0.2,0.466667,0.133333,0.533333,0.466667,0,0.466667,0.866667,0.4,0.6,0,0.533333,0.066667,8
E,0.2,0.533333,0.2,0.4,0.133333,0.2,0.466667,0.4,0.666667,0.466667,0.4,0.933333,0,0.533333,0.466667,8
F,0.4,0.6,0.533333,0.466667,0.266667,0.4,0.8,0.4,0.4,0.866667,0.466667,0.2,0.133333,0.6,0.133333,5
I,0.2,0.6,0.266667,0.466667,0.2,0.466667,0.466667,0,0.466667,0.866667,0.4,0.533333,0,0.533333,0.066667,8
H,0.333333,0.666667,0.466667,0.533333,0.533333,0.466667,0.466667,0.4,0.4,0.466667,0.4,0.6,0.2,0.533333,0.266667,8
U,0.266667,0.466667,0.266667,0.333333,0.133333,0.466667,0.333333,0.866667,0.333333,0.466667,0.933333,0.466667,0.2,0.6,0,8
C,0.133333,0.2,0.2,0.133333,0.066667,0.4,0.533333,0.466667,0.466667,0.6,0.466667,0.8,0.066667,0.666667,0.2,9
F,0.333333,0.6,0.4,0.466667,0.466667,0.466667,0.4,0.4,0.266667,0.466667,0.466667,0.533333,0.333333,0.666667,0.6,12
A,0.2,0.533333,0.333333,0.4,0.2,0.6,0.133333,0.133333,0.2,0.533333,0.133333,0.533333,0.133333,0.4,0.2,7
Z,0.2,0.466667,0.333333,0.333333,0.2,0.466667,0.533333,0.133333,0.6,0.733333,0.466667,0.466667,0.066667,0.533333,0.4,7
X,0.2,0.466667,0.333333,0.333333,0.133333,0.666667,0.333333,0.133333,0.533333,0.666667,0.066667,0.466667,0.2,0.466667,0.2,10
N,0.2,0.2,0.333333,0.133333,0.133333,0.333333,0.666667,0.2,0.266667,0.666667,0.533333,0.466667,0.333333,0.533333,0.066667,8
R,0.4,0.6,0.333333,0.266667,0.2,0.666667,0.4,0.333333,0.333333,0.666667,0.133333,0.533333,0.4,0.4,0.266667,9
B,0.2,0.2,0.2,0.266667,0.2,0.466667,0.466667,0.333333,0.333333,0.466667,0.4,0.4,0.333333,0.533333,0.333333,10
B,0.333333,0.6,0.466667,0.466667,0.466667,0.533333,0.533333,0.2,0.4,0.666667,0.333333,0.4,0.2,0.466667,0.4,8
U,0.333333,0.4,0.333333,0.266667,0.133333,0.333333,0.533333,0.4,0.533333,0.6,0.533333,0.533333,0.2,0.6,0.133333,5
J,0.266667,0.266667,0.4,0.333333,0.266667,0.533333,0.6,0.266667,0.333333,0.466667,0.4,0.6,0.2,0.466667,0.533333,8
F,0.2,0.466667,0.266667,0.333333,0.133333,0.066667,0.733333,0.266667,0.266667,0.733333,0.733333,0.533333,0,0.533333,0.133333,7
M,0.4,0.533333,0.6,0.4,0.4,0.733333,0.4,0.133333,0.333333,0.6,0.2,0.4,0.6,0.466667,0.133333,9
H,0.066667,0.066667,0.133333,0.066667,0.066667,0.466667,0.466667,0.8,0.066667,0.466667,0.4,0.533333,0.2,0.533333,0,8
A,0.133333,0.066667,0.266667,0.133333,0.066667,0.533333,0.066667,0.133333,0.133333,0.466667,0.133333,0.533333,0.133333,0.333333,0.133333,7
O,0.333333,0.666667,0.266667,0.333333,0.2,0.4,0.4,0.4,0.133333,0.6,0.4,0.6,0.333333,0.6,0.266667,8
E,0.066667,0,0.066667,0.066667,0.066667,0.266667,0.466667,0.333333,0.533333,0.466667,0.4,0.866667,0,0.533333,0.4,10
U,0.2,0.2,0.2,0.066667,0.066667,0.333333,0.533333,0.333333,0.466667,0.666667,0.6,0.533333,0.2,0.666667,0.133333,6
A,0.2,0.466667,0.333333,0.333333,0.2,0.666667,0.266667,0.066667,0.133333,0.533333,0.2,0.6,0.133333,0.266667,0.133333,7
X,0.266667,0.533333,0.333333,0.4,0.2,0.333333,0.533333,0.066667,0.533333,0.666667,0.6,0.6,0.133333,0.6,0.2,6
S,0.333333,0.533333,0.466667,0.4,0.266667,0.533333,0.533333,0.266667,0.6,0.733333,0.2,0.533333,0.133333,0.4,0.266667,9
J,0.066667,0.2,0.133333,0.133333,0.066667,0.666667,0.466667,0.066667,0.333333,0.733333,0.266667,0.533333,0,0.466667,0,7
K,0.333333,0.733333,0.533333,0.533333,0.333333,0.4,0.466667,0.133333,0.466667,0.666667,0.466667,0.666667,0.266667,0.533333,0.266667,8
I,0.133333,0.4,0.133333,0.266667,0.066667,0.6,0.333333,0,0.4,0.866667,0.333333,0.6,0,0.533333,0.066667,8
P,0.466667,0.733333,0.666667,0.533333,0.4,0.4,0.733333,0.2,0.4,0.866667,0.4,0.2,0,0.666667,0.2,8
T,0.133333,0.066667,0.133333,0.066667,0,0.533333,1,0.066667,0.266667,0.4,0.666667,0.533333,0,0.533333,0,8
C,0.066667,0.066667,0.133333,0.133333,0.066667,0.4,0.533333,0.4,0.4,0.6,0.466667,0.8,0.066667,0.6,0.2,10
H,0.266667,0.6,0.266667,0.466667,0.266667,0.466667,0.533333,0.866667,0.066667,0.466667,0.333333,0.533333,0.2,0.533333,0,8
A,0.133333,0.266667,0.266667,0.2,0.133333,0.666667,0.133333,0.133333,0.133333,0.6,0.133333,0.6,0.133333,0.466667,0.2,9
L,0.4,0.733333,0.6,0.533333,0.733333,0.466667,0.466667,0.2,0.4,0.4,0.466667,0.733333,0.4,0.733333,0.6,7
T,0.2,0.4,0.266667,0.266667,0.2,0.466667,0.8,0.266667,0.4,0.466667,0.733333,0.533333,0.133333,0.8,0.066667,7
A,0.133333,0.533333,0.266667,0.4,0.133333,0.8,0.133333,0.266667,0.2,0.733333,0.133333,0.666667,0.2,0.4,0.2,9
V,0.2,0.6,0.333333,0.466667,0.2,0.533333,0.6,0.266667,0.066667,0.4,0.8,0.533333,0.133333,0.666667,0,8
U,0.333333,0.466667,0.4,0.333333,0.333333,0.533333,0.533333,0.533333,0.333333,0.4,0.466667,0.6,0.266667,0.533333,0.266667,5
I,0.133333,0.6,0.133333,0.4,0.2,0.466667,0.466667,0,0.466667,0.466667,0.4,0.533333,0,0.533333,0.133333,8
Z,0.533333,0.933333,0.533333,0.533333,0.333333,0.533333,0.333333,0.133333,0.6,0.8,0.4,0.6,0.2,0.466667,0.4,7
V,0.266667,0.466667,0.4,0.333333,0.4,0.533333,0.533333,0.266667,0.133333,0.533333,0.466667,0.533333,0.466667,0.733333,0.333333,8
M,0.333333,0.6,0.466667,0.4,0.466667,0.6,0.466667,0.333333,0.333333,0.4,0.466667,0.4,0.666667,0.466667,0.266667,6
L,0.266667,0.533333,0.4,0.4,0.266667,0.4,0.333333,0.133333,0.533333,0.466667,0.133333,0.533333,0.066667,0.4,0.2,7
O,0.2,0.2,0.333333,0.333333,0.133333,0.6,0.4,0.6,0.466667,0.466667,0.333333,0.666667,0.2,0.533333,0.266667,8
B,0.266667,0.133333,0.333333,0.266667,0.266667,0.466667,0.466667,0.333333,0.4,0.466667,0.4,0.4,0.133333,0.533333,0.466667,10
A,0.533333,1,0.466667,0.533333,0.266667,0.533333,0.133333,0.2,0.133333,0.533333,0.333333,0.8,0.333333,0.266667,0.333333,5
K,0.4,0.6,0.6,0.4,0.466667,0.6,0.4,0.066667,0.466667,0.666667,0.2,0.533333,0.2,0.466667,0.2,9
H,0.2,0.466667,0.266667,0.333333,0.266667,0.466667,0.466667,0.333333,0.4,0.466667,0.4,0.533333,0.2,0.533333,0.2,8
T,0.466667,0.6,0.466667,0.466667,0.333333,0.4,0.666667,0.066667,0.533333,0.733333,0.6,0.333333,0.133333,0.6,0.2,4
W,0.4,0.333333,0.466667,0.266667,0.266667,0.266667,0.733333,0.133333,0.133333,0.6,0.6,0.533333,0.466667,0.733333,0.066667,7
F,0.2,0.533333,0.2,0.333333,0.066667,0.066667,0.8,0.266667,0.333333,0.8,0.733333,0.533333,0,0.533333,0.133333,6
A,0.2,0.2,0.333333,0.266667,0.066667,0.466667,0.4,0.2,0,0.466667,0,0.533333,0.133333,0.466667,0.066667,8
E,0.2,0.533333,0.2,0.4,0.2,0.2,0.4,0.333333,0.6,0.333333,0.266667,0.866667,0,0.533333,0.4,9
M,0.266667,0.6,0.333333,0.466667,0.266667,0.466667,0.466667,0.8,0.066667,0.466667,0.6,0.533333,0.533333,0.4,0,8
B,0.266667,0.6,0.333333,0.466667,0.4,0.466667,0.533333,0.6,0.4,0.466667,0.4,0.4,0.133333,0.533333,0.533333,10
M,0.2,0.466667,0.333333,0.333333,0.4,0.466667,0.533333,0.4,0.266667,0.4,0.4,0.533333,0.333333,0.533333,0.466667,9
Y,0.4,0.6,0.4,0.466667,0.266667,0.333333,0.533333,0,0.533333,0.533333,0.6,0.333333,0.133333,0.733333,0.266667,4
V,0.266667,0.6,0.4,0.466667,0.2,0.4,0.8,0.2,0.266667,0.466667,0.8,0.6,0.2,0.666667,0.066667,8
S,0.133333,0.533333,0.2,0.4,0.2,0.533333,0.533333,0.466667,0.4,0.466667,0.266667,0.4,0.133333,0.466667,0.533333,8
C,0.133333,0.066667,0.133333,0.133333,0.066667,0.4,0.533333,0.466667,0.466667,0.533333,0.466667,0.8,0.066667,0.6,0.266667,10
H,0.266667,0.6,0.4,0.4,0.533333,0.466667,0.466667,0.4,0.2,0.466667,0.4,0.466667,0.533333,0.466667,0.6,9
U,0.333333,0.533333,0.333333,0.4,0.266667,0.533333,0.4,0.733333,0.266667,0.533333,0.866667,0.466667,0.2,0.6,0,8
P,0.4,0.666667,0.4,0.4,0.266667,0.466667,0.666667,0.333333,0.133333,0.733333,0.333333,0.266667,0.266667,0.733333,0.333333,7
Z,0.2,0.533333,0.266667,0.4,0.133333,0.466667,0.466667,0.266667,0.866667,0.666667,0.4,0.533333,0,0.533333,0.533333,8
E,0.2,0.266667,0.333333,0.133333,0.133333,0.466667,0.466667,0.133333,0.533333,0.733333,0.466667,0.6,0.133333,0.533333,0.266667,8
N,0.333333,0.6,0.466667,0.4,0.266667,0.266667,0.666667,0.2,0.266667,0.6,0.666667,0.6,0.333333,0.533333,0.066667,8
P,0.4,0.666667,0.333333,0.4,0.2,0.333333,0.6,0.4,0.2,0.666667,0.333333,0.4,0.333333,0.6,0.266667,7
H,0.266667,0.333333,0.333333,0.266667,0.266667,0.466667,0.466667,0.4,0.4,0.466667,0.4,0.466667,0.2,0.533333,0.2,6
T,0.4,0.733333,0.4,0.533333,0.333333,0.4,0.733333,0.2,0.466667,0.733333,0.6,0.333333,0.133333,0.8,0.133333,4
B,0.333333,0.333333,0.333333,0.533333,0.266667,0.466667,0.6,0.666667,0.533333,0.466667,0.333333,0.466667,0.133333,0.533333,0.6,10
